imdbid,book_id,title,author,year,full_name,budget,revenue,runtime,poster_path,rating_average,vote_count,standardized_rating,normalized_rating,goodreads_scale_rating
tt0090576,1964904.0,De Aanslag,Harry Mulisch,1986.0,The Assault 1986,0,203781,124.0,/roLUdrbcpFiWjIqs2NbpItR74KE.jpg,7.3,2823.0,0.768571339934507,0.732394366197183,3.65
tt0276751,2770004.0,About a Boy,Nick Hornby,2002.0,About a Boy 2002,27000000,129000000,101.0,/1kz4Q2v7cxwNnTfkjrujzWAVCne.jpg,7.1,158912.0,0.570744749265489,0.704225352112676,3.55
tt0257360,908745.0,About Schmidt,Louis Begley,2002.0,About Schmidt 2002,30000000,105834556,125.0,/riJV5Bq0IXItG3ceywNWkw7il7K.jpg,7.2,116379.0,0.669658044599998,0.71830985915493,3.6
tt0118548,760769.0,Absolute Power,David Baldacci,1997.0,Absolute Power 1997,50000000,50068310,121.0,/oJQdp09Oc51DkArsMDvgDLdWiDu.jpg,6.7,45519.0,0.175091567927453,0.647887323943662,3.35
tt0094606,60792.0,The Accidental Tourist,Anne Tyler,1988.0,The Accidental Tourist 1988,0,0,121.0,/dyk2BqPajLRBpVQ6jsSJJdgfuXe.jpg,6.8,13738.0,0.274004863261962,0.661971830985915,3.4
tt0068168,6916657.0,Across 110th,0,1972.0,Across 110th Street 1972,0,0,102.0,/rBbjSAA6sfCod4n4KlaiSCV1jiA.jpg,7.0,4239.0,0.47183145393098,0.690140845070423,3.5
tt0267248,1171639.0,Adams Fall,0,2002.0,Abandon 2002,25000000,10719357,99.0,/boUVtx1o57qsy9rkdXxI4ExHLnP.jpg,4.9,8703.0,-1.60534774809371,0.394366197183099,2.45
tt0070510,790338.0,Addie Pray,Joe David Brown,1973.0,Paper Moon 1973,0,0,102.0,/xq7F3iUFJY1L4UFIHoO2Y3fmnE6.jpg,8.1,37334.0,1.55987770261058,0.845070422535211,4.05
tt0307923,455696.0,Adolphe,Benjamin Constant,2002.0,Adolphe 2002,0,0,102.0,/dfcRL36GvuoeqWn1bq6tgSLiXgA.jpg,6.1,329.0,-0.418388204079602,0.563380281690141,3.05
tt0065374,56649.0,The Adventurers,Harold Robbins,1970.0,The Adventurers 1970,0,0,171.0,/1WQPcTeZs1BiLT34w2bjURckyms.jpg,5.4,579.0,-1.11078127142117,0.464788732394366,2.7
tt0395119,90411.0,The Adventures of Captain Alatriste,Arturo Pérez-Reverte,2006.0,Alatriste 2006,24000000,23321954,145.0,/4DHgHu8TlOGRMriLAKiQrYf6GF6.jpg,6.1,11456.0,-0.418388204079602,0.563380281690141,3.05
tt0046683,41096625.0,The Adventures of Hajji Baba of Ispahan,James Justinian Morier,1954.0,The Adventures of Hajji Baba 1954,0,0,94.0,/pSEYTPhDHWwE7jDKptSJTku5kTr.jpg,6.1,394.0,-0.418388204079602,0.563380281690141,3.05
tt0011313,2956.0,Adventures of Huckleberry Finn,Mark Twain,1920.0,Huckleberry Finn 1920,0,0,70.0,/fbsThgTWny7zCZp8iXmyljyHx5b.jpg,6.5,68.0,-0.0227350227415655,0.619718309859155,3.25
tt0021981,2956.0,Adventures of Huckleberry Finn,Mark Twain,1931.0,Huckleberry Finn 1931,0,0,80.0,/r9Q3RYZ6TYCnOI99Hx19dc4Jm8P.jpg,6.3,61.0,-0.220561613410584,0.591549295774648,3.15
tt0021981,24583.0,The Adventures of Tom Sawyer,Mark Twain,1931.0,Huckleberry Finn 1931,0,0,80.0,/r9Q3RYZ6TYCnOI99Hx19dc4Jm8P.jpg,6.3,61.0,-0.220561613410584,0.591549295774648,3.15
